"Designator","Mid X","Mid Y","Layer","Rotation"
"R5","119.9mm","-106.7mm","top","90.0"
"J5","174.3mm","-91.8mm","top","180.0"
"C1","142.6mm","-78.8mm","top","270.0"
"C6","134.4mm","-90.7mm","top","90.0"
"C8","151.4mm","-98.1mm","top","0.0"
"D1","124.3mm","-106.4mm","top","180.0"
"FB1","137mm","-95.8mm","top","0.0"
"R1","130mm","-75mm","top","0.0"
"R2","138.1mm","-89.4mm","top","0.0"
"R4","166.1mm","-106.5mm","top","0.0"
"U1","149.65mm","-86.325mm","top","270.0"
"Y1","128.7mm","-85.7mm","top","270.0"
"J1","175.8mm","-114.3mm","top","0.0"
"U2","132mm","-103mm","top","180.0"
"J3","173mm","-105mm","top","90.0"
"C2","146.4mm","-95.5mm","top","180.0"
"C3","155mm","-95.6mm","top","180.0"
"C4","158.2mm","-81.1mm","top","270.0"
"C5","138.1mm","-92mm","top","180.0"
"C7","122.9mm","-66.5mm","top","0.0"
"C11","124.7mm","-99.4mm","top","0.0"
"C12","129.6mm","-108.1mm","top","180.0"
"C13","124.4mm","-103.3mm","top","0.0"
"R3","166.1mm","-104.1mm","top","0.0"
"C9","123.4mm","-82.6mm","top","180.0"
"C10","123.4mm","-88.9mm","top","180.0"
"LOGO1","148.38mm","-107.78mm","top","0.0"
"LOGO2","167.15mm","-67.78mm","top","0.0"
"SW1","122.9mm","-74mm","top","90.0"
