Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",131.030000,-66.440000,270.000000,top
"C2","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",134.830000,-83.140000,180.000000,top
"C3","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",143.430000,-83.240000,180.000000,top
"C4","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",146.630000,-68.740000,270.000000,top
"C5","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",126.530000,-79.640000,180.000000,top
"C6","10uF","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",122.830000,-78.340000,90.000000,top
"C7","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.330000,-54.140000,0.000000,top
"C8","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",139.830000,-85.740000,0.000000,top
"C9","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.830000,-70.240000,180.000000,top
"C10","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.830000,-76.540000,180.000000,top
"C11","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",113.130000,-87.040000,0.000000,top
"C12","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",118.030000,-95.740000,180.000000,top
"C13","10uF","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",112.830000,-90.940000,0.000000,top
"D1","RED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",112.730000,-94.040000,180.000000,top
"FB1","100uH","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",125.430000,-83.440000,0.000000,top
"J3","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",161.430000,-92.640000,90.000000,top
"R1","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",118.430000,-62.640000,0.000000,top
"R2","0R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.530000,-77.040000,0.000000,top
"R3","22R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.530000,-91.740000,0.000000,top
"R4","22R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.530000,-94.140000,0.000000,top
"R5","330R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",108.330000,-94.340000,90.000000,top
"SW1","~RESET","SW_SPST_FSMSM_3D",111.330000,-61.640000,90.000000,top
"U1","STM32F401RCT6","LQFP-64_10x10mm_P0.5mm",138.080000,-73.965000,0.000000,top
"U2","LM1117-3.3","SOT-223-3_TabPin2",120.430000,-90.640000,0.000000,top
"Y1","8MHz","Crystal_SMD_HC49-SD",117.130000,-73.340000,270.000000,top
